i39ti|c20jnpx c20ulin c20l50n c20lt8f c20m2dh c20kzux c20oa6l c20k95s c20l1ut c20n8e3 c20lr6h c20o85n c20kmet c20klc6 c20kduu c20jbr8 c20ll0a c20ljpz c20kszr c20k28y c20lnjd c20kl3c c20lkrv c20jug3 c20lxj9 c20lpar c20lyxg c20jvju c20l2z3 c20jfq1 c20j9ho c20k49j c20lq07 c20kcau c20mt7b c20jhv8|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
i4iz8|c20u025 c20u2cc|0 0
i4ix8|c20ud8d c20u895 c20u952 c20uxv1|0 0 1 0
i4i8m|c20ufll|1
i5jsv|c212uat|0
i5e8d|c211ej0 c211hkd c211nxy|0 0 0
i5adh|c211sml c2156hj c214o9g c214xsg c217no7 c215qhx c213iuj c211htq c212sam c2122m1 c2137nt c2150r0 c213uqk c213hyt c2115ul c214g1r c213ktl c2141lj c2112ud c211rqy c214a5w c215bsb c2129vf|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
i4vi2|c20yrju c20y2xk|1 0
i4t24|c20wgyh|0
i7jc9|c21jgee c21j9ti c21ko92 c21l7bw c21kc6x c21l09y c21kffn c21jjwr c21lrbk c21joob c21iynd c21jid7 c21j1kw c21k367 c21jepa c21j1ul c21kfh2 c21iska c21kufj c21n7hd c21jkqr c21k58r c21jg6m c21ljhm c21k06z c21kjvo c21mtte c21kgj4 c21jzh6 c21mao0 c21k400 c21khwd c21lhqx c21jbml c21ixt6 c21j8mi c21j7g3 c21l6wu c21l2rf c21j7yi c21jnmw c21kk8l c21lgn3 c21krb2 c21j187 c21jv2z c21k9eh c21jjjn c21k03f c21j0a8 c21jb8n c21jek3 c21kcoa c21jb1f c21j7mh c21n2fa c21j1as c21j4al c21mdf6 c21ix3x c21kel0 c21j6wx c21jnux c21jbkz c21iye8 c21jemc c21jb9e c21j8ke c21k5tm c21iqrl c21ji96 c21j9th c21ipzv c21jh1z c21iw1o c21j367 c21j9b5 c21j16u c21lcx9 c21j7o5 c21l502 c21iqr0 c21k9rf c21micq c21k1gr c21jptt c21lv9p c21lful c21j8lk c21kt0a c21jygd c21jevi c21k8vo c21katu c21k4yy c21lhjw c21iuyy c21k0ed c21lq7e c21jub6 c21ja72 c21jz2y c21j9a2 c21l5ej c21jbig c21luzk c21j4o3 c21j40o c21j8mk c21jsat c21j9me c21jgdu c21kjbu c21jbrp c21jbcg c21ka1t c21kaef c21k2qt c21kagm c21jxgh c21ml90 c21m3qr c21j7ga c21kk5f c21kb2y c21lhrs c21j681 c21k8m9 c21mie6 c21jhyd c21kxkj c21kp30 c21jbdj c21ive5 c21m825 c21keqt c21j7yn c21lwi4 c21l5z2 c21jk53 c21jog6 c21j6ch c21k8tx c21jelg c21jfy6 c21jwug c21lo28 c21k88i c21kn8p c21j8pm c21l02j c21jvki c21jq6f c21mhjn c21m4zx c21jfg3 c21lbhp c21j3o4 c21j26h c21j1kn c21ju25 c21mawg c21kxlz c21mggh c21j7ph c21izao c21jc6m c21jvqf c21jmi9 c21m4ag c21kjh9 c21lmxm c21ky0a c21jmhf c21jiab c21ja3c c21k8q6 c21j6i9 c21j6dt c21iv65 c21m9jy c21j9fu c21iwm9 c21m9c3 c21mbs7 c21ixe5 c21jajt c21jdvf c21kg26 c21keu2 c21jgn5 c21ml9d c21j6yo c21j5ht c21lgo2 c21kcum c21nbeh c21k5ln c21lf6m c21jaya|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
i7634 c21g6mw|c21hog8 c21hgvs c21hpr9 c21gocc c21hl1l c21hbsh c21gxbq|0 1 0 0 0 0 0
i9v81|c222zna c226n80 c223sc2 c22242h|1 0 0 0
i9y61 c223gdt|c22446l|1
iawr8|c22aktp c22akhh|1 0
xitez|c5mpulf c5mpvs0|0 1
xigb6 c5mmgl9|c5mp8c7 c5mrj35 c5mo0xy|0 0 1
xifn3|c5mqc7d c5mw1uf|0 1
xl5m6 c5nazgh|c5nbd6i|1
xkvzk|c5nawka c5n8h55|0 0
xkudp|c5n89cw c5n8ehd|0 0
xk8bz|c5n3dsq c5n5nd4 c5n8u6e c5n37mj c5n4eey c5ndf28 c5n40c3 c5n3cov c5n8bnw c5n43mr|0 0 0 0 0 1 0 0 0 0
xk4ye|c5n28rg|1
xmd8x c5nnypo c5nrt56|c5nt9dy|0
xm9ju c5nkwf9|c5nlbpw c5no0sa c5nkzoy|0 1 0
xllta|c5nhoub c5nhzj2 c5nhd53 c5ni646 c5netu9 c5nhqsg c5nhkr3 c5nhjqy c5nq9ph c5nhe7y c5nhr9l c5ni2hr c5nhfzz c5nfns4 c5nhpaz c5nhnoy c5ngsds c5nhm2p c5ni50c c5nht5l c5ni332 c5nhbx8 c5nhe5x c5nhwne c5nhxpy c5nhpgx c5nhvqv c5nhjgu c5noune c5nhk85 c5nhf52 c5nhq8r c5nhvcp c5nhr6q c5nht7g c5nhmnp c5nhvnh c5nhc0b c5nhkgm c5nfh9g c5nfuv6 c5nhgtq c5nhozg c5nhwkh c5nhtin c5ni1ay c5nhhfy c5nhn5w c5nhmdn c5nkvcx c5ni0np c5nhgzc c5nhuad c5nh9p8 c5nhiv7 c5nhrhh c5nhspv c5nhoo2 c5nozmb c5ni6gn c5nh5il c5nhy13 c5nhign c5nftew c5nhnpm c5nhhxd c5nhmbr c5nhivs c5ni5oa c5nhjen c5ni7e8 c5nhu1w c5nhsxc c5nhv8i c5nhg1y c5nhv2m c5ni30f c5nhkwk c5nhzdc c5ni4vk c5ni1qq c5nhi16 c5niedv c5nhgw2 c5nevur c5nkk3p c5ni6ot c5nhlb1 c5nhx2w c5nlkpn c5nhdrg c5nhedf|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
xoadb|c5o9kcy c5o70fu c5ocj4m c5oij4q c5o5tm9 c5o7g8k c5oagb3 c5ob5zz c5o62j5|0 0 0 0 0 0 0 0 0
xq162|c5olqgs c5ooqql c5oz8yg c5ozpks c5othx7|1 0 0 0 0
xpxwu|c5onu7q c5ovqj6 c5onjmi c5ol9x1 c5olyc6 c5oq2qj c5onxi6 c5ooirq c5ol3mb c5on3ag c5on3o9 c5on9ih c5oobic c5olpm4 c5omh28 c5onnvv c5omxq4 c5oqfgs c5om32h c5ooy2w c5omb80 c5om8mr c5oqgl0 c5onimu c5ong4v c5oo7u9 c5oplp2 c5oq03q c5onhs3 c5omfav c5omlve c5oo4h3 c5oll8q c5ov13r c5okx3m c5p30iy c5oq9kt c5om8or c5orkp1 c5omteq c5on0ue c5om5y4 c5oozty c5oojco c5ouqbl c5or72r c5om8ol c5okw1p c5oltuy c5olswi c5oq9np c5ooxya c5osy9g c5onb1b c5on07k c5okx0w c5ookcc c5orhvl c5op213 c5or7b4 c5onbvw c5orfp0 c5ovdn9 c5ordgh c5omgbt c5otcxm c5on14a c5ol4bw c5omqeg c5omrt9 c5oncyv c5orzzl c5omc63 c5ot3hu c5ol0jm c5oketa c5omifl c5olvau c5oqem5 c5om9wq c5oncvb c5olkpm c5omo76 c5oofjd c5omoir c5owv20 c5oq3xv c5op5nu c5olqr6 c5ollh4 c5onm9r c5onfmw c5oohey c5oqrja c5ovmq2 c5omuss c5oovtb c5om24g c5onor8 c5omf3z c5oq9o7 c5omn2h c5oprxa c5omluc c5okx1n c5olr2g c5oo0nk c5omx9m c5ooylx c5onsfc c5onpfa c5on0lu c5olhjm c5ommfk c5om0lg c5ol7qo c5om9tq c5omodl c5on1vz c5oomne c5omjxx c5ouglj c5oom8d c5ord3g c5oojbp c5osjm9 c5ol9z8 c5omwtb c5oms5v c5omr6r c5omrnz c5omuq0 c5ompy0 c5onfd4 c5omj1z c5omzxt c5om0w7 c5onf4a c5oolhq c5onl2c c5or4kq c5oo77k c5oywun c5oojw2 c5omh7v c5ood16 c5ona83 c5omg0k c5ooc95 c5otwfd c5on7jl c5omtbi c5oowbe c5ouwyu c5onfu1 c5oll2v c5on8mh c5omv9w c5omk7z c5omdyc c5ouqnr c5onhgo c5on5o6 c5om4v8 c5oqfzf c5orp98 c5ou18v c5on35h c5omjg1 c5olu0a c5opjsw c5oqpeu c5olw55 c5or9tc c5on8r7 c5om4qn c5omkmh c5olxq5 c5oookv c5ontl3 c5omb5q c5on5qr c5opawt c5om0rq c5oum2d c5otovt c5oq9fq c5omnuk c5omzjr c5oxq9p c5okkwx c5omyp3 c5omkcb c5ord5n c5opok2 c5opnfk c5onok2 c5oo1jp c5oly45 c5oq8ek c5omc2k c5onpku c5ommqq c5omag0 c5omm7j c5onnfa c5omw6l c5omt9o c5op2d1 c5ommmn c5onwl6 c5osk3z c5omap2 c5olmtg c5oovvx c5on7zc c5omdjv c5omg5q c5oscb4 c5orfus|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
xs356|c5p40yl c5pdogg c5pedme c5p35rm c5pnu52 c5pfpkp c5pckwq c5paeki c5pgcf1 c5p6gly c5p8rjt c5p8y83 c5pefio c5pbfwf c5p42l8 c5p8yhc c5p31y4 c5pbfqv c5pa587 c5pcipx c5pgq2l c5p3mkf c5ped6g c5p2z7y c5p7zkm c5pc6q5|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
xui4t|c5pz7j8 c5ptuka c5puum0 c5q09c9 c5pvmye c5pust8 c5pz10m c5pup2f c5pp53m c5pxxe4 c5pwom3 c5pziwj c5pvff1 c5pw66x c5pvd5z c5pw4nc c5pw688 c5pzd7q c5pylsm c5pyyqd c5pyu8h c5pyqby c5pxvgs c5pveb6 c5pyh5r c5q0bn5 c5q54e2 c5py7e7 c5pwvci c5pvp1j c5px50m c5q21q2 c5pur7e c5pysxr c5ptfjw c5q6jqw c5pwu4c c5q1ouv c5px2m5 c5pwqf8 c5pxjex c5pvgku c5puxty c5pwbbd c5q0btz c5pytap c5pxi4o c5pyljr c5puudz c5py4ru c5pzj3n c5q9bzf c5pysut c5pw3qk c5pys4h c5puyob c5pw2jj c5pwed8 c5q194s c5pv580 c5pvo2p c5pvczt c5pupkj c5pyead c5pzaub c5pxvu6 c5pxs5a c5pu8eu c5pzg11 c5pwmm0 c5pxpyk c5pv5xz c5pxr7v c5pzg3g c5pv15p c5pvr9v c5pvu1y c5pv2g6 c5pzrh9 c5pxd0f c5pwq5q c5pznhp c5puzgz c5pza3u c5povuu c5puqx1 c5pxoou c5pv0o3 c5pxnx3 c5pvmnt c5pyn7q c5putmq c5puh6b c5pycmg c5ps1rz c5px0kw c5pwu3f c5pv00u c5pxyn4 c5py2w5 c5pw870 c5pv82k c5pxnd2 c5pvk5n c5pvewk c5pzona c5py0fc c5px1nb c5pzbhu c5pvo9f c5pv1o4 c5q1y3v c5punkj c5puvyt c5pyel8 c5pyxyi c5pwv4y c5pxla0 c5pvnwx c5purvd c5pxf4f c5pux8b c5q000q c5pveyj c5pvs54 c5py32q c5ptybl c5pyvrl c5pv1fu c5pwp04 c5pyf1v c5pynei c5q35hn c5pwq0z c5puwxa c5pv04o c5pwoln c5puto1 c5pya8y c5pyoxs c5px5wu c5pw9nc c5q0jbj c5pym62 c5pxsph c5q2yfv|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
xu6d8|c5ps5bk c5pqj1i c5pno28 c5puhhq c5plv57 c5prd4f c5pw3my c5pujg6 c5pq6gi c5puf2y c5pylzj c5pq9el c5pueps c5pupbb c5pxwou c5pzo17 c5prhik c5ptyns c5pt8x5 c5prglc c5pru4g c5ptvuo c5py41n c5pyrts c5pm9ky c5pvcm5 c5psmja c5pu2s1 c5psuud c5pzvng c5pvwgm c5pmgom c5pp2ni c5po14z c5pwofc c5ppzix c5pv0on c5pyqdu c5pribb c5q07qg c5pul25 c5py1wa c5puf21 c5pua84 c5pturl c5puyq9 c5pxtoy c5puk2x c5pqf2y c5psxeu c5psz5d c5pt65b c5pulmy c5pskw7 c5ptfpd c5q25yc c5pz0t4 c5ppoei c5pqc1j c5pt0cj c5pvnws c5pwckj c5plir3 c5pqgoy c5pti3w c5puu49 c5pu9st c5pnuf1 c5ptwfd c5pmmsr c5pw6w8 c5q24v1 c5psoce c5ptab1 c5ps602 c5puyqj c5pupsg c5ppthm c5pmrn1 c5pu79r c5po8qt c5pnvb7 c5pnkhg c5ps2dc c5pv7kn c5pqzw2 c5psaim c5puxqz c5q36xq c5q0fql c5pt96k c5pozn4 c5pwx91 c5pmj5x|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
xtp4l|c5pn7gp c5psz5s c5pipbw c5pqc0q c5ptoi7 c5pxete c5pilfh c5ppdgc c5phqq0 c5pigvb c5pmj5i c5pzaig c5pohi9 c5pr3n2 c5pqzju c5praqn c5pilrf c5pspro c5pn5ff c5pqk6s c5prxqp c5pi5ti|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
xxqu3|c5qkond c5qmysg c5r06go c5qms4g c5qspo3 c5qpaqn c5qnzam c5qquvf c5qv442 c5qpicm c5qpuua c5qkudr c5ql9lj c5qlaqh c5qsaii c5qtpxc c5qpfug c5qrr9z c5qs92q c5qmyvr c5qmv4h c5qrikh c5qmw3t c5qq5e5 c5qo4m1 c5qs2i7 c5qktvt c5qkyxh c5qqf91 c5qqsjy c5qmvmo c5quc7m c5qlukx c5qjzlg|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
xzvdm|c5r4kdu c5r3sof c5r4smr c5r5lwt c5r7n8g c5r5gj1 c5r54dk c5r4s37 c5r62xh c5r42yc c5r529x c5r4z26 c5r6ktr|0 0 0 0 0 0 0 0 0 0 0 0 0
xzqnv|c5r2mfn c5rfq8m c5r3j1b c5r47pv c5r2272 c5rfkh5 c5r35c7 c5r4jnz c5r7605 c5rd47t c5r1hy0 c5r4sq4 c5r0j76 c5r7ck3 c5rbv87 c5r5n2p c5r50kh c5r4n3w c5r73mi c5r23g4 c5r7oij c5r6232 c5r0ifh c5r3z6c c5r5pwg c5r4ye0 c5r6urd c5r0iu2 c5r1m19 c5r4go1 c5r7iit c5r78ly|0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
y2byf c5rpm9h|c5rsf5d c5rs59u c5rsebl c5rrd95 c5rrtzh|0 0 0 1 0
y1ruw c5rkd6s|c5rmcw8 c5rmczu|0 0
y43fd|c5sk9a7 c5sbno6 c5shlbp c5sehhl c5s5d3h c5scskr c5se65e c5sahi1 c5sd31m c5sehw8 c5scz52 c5se9is c5sfqax c5sfwzb c5seg8r c5seg0v c5se8yz|0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
y2lgk|c5rs6jc c5rssr5 c5rqyb9|0 0 0
y5628|c5sfsiu|1
y5406 c5sf9nh|c5sjc12 c5sk8s6|0 1
y52xi|c5sewwb c5sf9xg|0 0
